name,country_code,company_state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on, price_usd , price ,price_currency_code, cb_url , ipo_uuid ,uuid
Deltek,USA,VA,VA,Herndon,nasdaq,PROJ,2007-01-11,,,, https://www.crunchbase.com/organization/deltek , ec6a700f-974f-8cad-87b8-0065f498c70a ,1f93544d-3abf-ddb9-3aac-07b39f1efad0
Inter RAO,RUS,,48,Moscow,mcx,IRAO,2007-01-09,,,, https://www.crunchbase.com/organization/inter-rao , 4da8a41a-74f5-d883-2443-ff769720413b ,0eba2298-ef50-f36d-4dcb-55bcb7fb8fef
LSR Group,RUS,,66,Saint Petersburg,mcx,LSRG,2007-01-09,,,, https://www.crunchbase.com/organization/lsr-group , db9593fb-1be2-c765-fcde-08f34a53a538 ,ed419848-cf16-6fcf-9798-7559700bcabe
Uralkali,RUS,,90,Perm,mcx,URKA,2007-01-09,,,, https://www.crunchbase.com/organization/uralkali , 4c2c3300-ad57-cc0e-9ff2-3b82d32fff89 ,3e6be052-372b-3fb5-0b4b-73db757e3041
49 North Resources,CAN,SK,SK,Saskatoon,cve,FNR,2007-01-05,,,, https://www.crunchbase.com/organization/49-north-resources , 49e2a7a2-d78f-4a1a-a568-b9e835fbd005 ,6561493e-1c20-4f3d-8fdf-f7051f93ac6f
Arihant Foundations & Housing,IND,,25,Chennai,nse,ARIHANT,2007-01-05,,,, https://www.crunchbase.com/organization/arihant-foundations-housing , 8786809c-f6ac-553c-eb4d-1767ea14b2ac ,6878182f-424e-7338-a68c-00a677d99844
Forent Energy,CAN,AB,AB,Calgary,cve,FEN,2007-01-05,,,, https://www.crunchbase.com/organization/forent-energy , 966c1947-5f41-1ecf-c843-f35868cbfcf6 ,17e9c31a-cae1-e8b4-de9d-e74a9934849c
Kubera Cross-Border Fund,CYM,,3,George Town,lon,KUBC,2007-01-05,,,, https://www.crunchbase.com/organization/kubera-cross-border-fund , db0952d8-c17c-4613-d9cf-26b807ef7f16 ,265464f1-3892-be7e-6bc5-64a71dd9328b
MSB Financial,USA,NJ,NJ,Millington,nasdaq,MSBF,2007-01-05,,,, https://www.crunchbase.com/organization/msb-financial , f3a59a1e-3d4e-a0b6-3cab-e426d791a181 ,5984e3c5-475b-8a11-b614-0be5b335dccc
Oceania Capital Partners,AUS,,2,Belrose,asx,OCP,2007-01-05,,,, https://www.crunchbase.com/organization/oceania-capital-partners , 76031f99-101c-7077-33b3-25c34369ce17 ,c378e134-973a-a2d4-9229-8b41c4e4a4a4
U3O8 Corp,CAN,ON,ON,Toronto,tse,UWE,2007-01-05,,,, https://www.crunchbase.com/organization/u3o8-corp , e01930f4-02ee-1e81-f09c-04b476a4f940 ,bb6a7f1b-d66b-a697-a641-b2135bdae475
Zion Oil & Gas,USA,TX,TX,Dallas,nasdaq,ZN,2007-01-05,,,, https://www.crunchbase.com/organization/zion-oil-gas , 1c3ccff8-7891-ee8f-f681-e01e32b238f4 ,b6851e66-6f13-daf3-528b-a64739d0ed1b
6PM plc,MLT,,,Birkirkara,mse,6PM,2007-01-01,,,, https://www.crunchbase.com/organization/6pm-plc , 324c46fc-f7db-b6a1-6dc9-1e7a981b3748 ,4cd9dd75-33bb-235b-9d22-3aeac37e76dd
Bewinner,CHN,,22,Beijing,szse,2148,2007-01-01,,,, https://www.crunchbase.com/organization/bewinner , c9a171f4-feaa-4a47-aace-6510cd26f383 ,50bc90f7-6e0f-40e5-adb5-68c22a5bc160
B&G Foods,USA,NJ,NJ,Parsippany,nyse,BGS,2007-01-01,,,, https://www.crunchbase.com/organization/b-g-foods , bdf53433-f9f3-c71f-375d-2d8c7bc2f34a ,84e02afb-aab5-4843-c7cb-64ef8fa912f9
Day4 Energy,CAN,BC,BC,Burnaby,tsx,DFE,2007-01-01,,,, https://www.crunchbase.com/organization/day4-energy , 57385033-3dda-1c10-2dc3-e5c036817f5e ,8eeda647-82a3-1e98-701a-578ee47829e4
Westminster Group Plc,GBR,,K2,Oxford,lon,WSG,2007-01-01,,,, https://www.crunchbase.com/organization/westminster-group-plc , 9a3089ea-5524-41cf-9da6-e24f7aee6470 ,8e95a415-1f87-461f-a887-bffd67dc4e4e
"Anacomp, Inc.",USA,CA,CA,Oceanside,otcpink,ANMP,2006-12-31,,,, https://www.crunchbase.com/organization/anacomp , f12e4869-a7b6-97ac-f253-102a884bc449 ,a57f9717-1e0c-d33a-6ece-748300a74f90
AMP Capital Investors,AUS,,2,Sydney,asx,AGF,2006-12-29,,,, https://www.crunchbase.com/organization/amp-capital-investors , 9c1d8935-3c03-1daf-e305-9615c80bb640 ,0e620910-a881-66a2-5e7e-bed5afae7f30
Andalas Energy and Power,IMN,,,Douglas,lon,ADL,2006-12-29,,,, https://www.crunchbase.com/organization/andalas-energy-and-power , cab6aa1d-d31a-477c-be7d-c87bc44b22a4 ,d9a7498e-9254-4792-a3b1-2ef57edebad0
Auplata,FRA,,A6,Guyans,epa,ALAUP,2006-12-29,,,, https://www.crunchbase.com/organization/auplata , d648c31c-6b8c-4086-a234-50e7d05dc210 ,ee5492d2-1525-405b-8fb7-4d2870ee1e30
Centurion Minerals,CAN,BC,BC,Vancouver,cve,CTN,2006-12-29,,,, https://www.crunchbase.com/organization/centurion-minerals , f8ad2444-4fa4-4946-ccce-ac295c15e85a ,f8478e0c-e102-81c2-3107-6fc73526c995
ChemoMetec A/S,DNK,,17,Allerød,cph,CHEMM,2006-12-29,,,, https://www.crunchbase.com/organization/chemometec , 13473d62-c783-b215-116b-868d9070633b ,c0158957-fe0d-0033-9a18-eedfa22c477b
Dlsi SA,FRA,,B2,Forbach,epa,ALDLS,2006-12-29,,,, https://www.crunchbase.com/organization/dlsi-sa , 6848e2ca-7d2c-452d-b555-cbcba4e496a9 ,68c15c29-1845-4d06-b852-ce576cf2e898
Donear Industries,IND,,16,Mumbai,nse,DONEAR,2006-12-29,,,, https://www.crunchbase.com/organization/donear-industries , 8285ecd8-6864-8b2e-845a-b1597509fbd6 ,ad5bf9ba-d2e8-9533-c038-9e0c3b77de82
Genfit,FRA,,B4,Loos,epa,GNFT,2006-12-29,,,, https://www.crunchbase.com/organization/genfit , dcb74657-a1bc-47e6-964c-c6df05ecc5af ,6f1286b6-f74a-6911-83ba-8362aded672a
Gintech Energy Corporation,TWN,,3,Taipei,tpe,3514,2006-12-29,,,, https://www.crunchbase.com/organization/gintech-energy-corporation , a41fef45-974d-89a7-3207-39c23739d672 ,cbb63b59-c1ef-6778-ccb5-118435eb1589
Hanwha Q CELLS,USA,NY,NY,Vestal,nasdaq,HQCL,2006-12-29,,,, https://www.crunchbase.com/organization/hanwha-q-cells , bcc02d76-6798-4eae-9526-aab2cb5f246c ,125c35a5-6a82-db6e-dd94-68cbf958c15a
Hanwha SolarOne,CHN,,23,Shanghai,nasdaq,HSOL,2006-12-29,,,, https://www.crunchbase.com/organization/hanwha-solarone , 08cd7e37-ad32-a73a-134c-34f13587d4b6 ,771e2318-80f3-8b0a-cc7d-35d82ed54332
KEFI Minerals plc,CYP,,4,Nicosia,lon,KEFI,2006-12-29,,,, https://www.crunchbase.com/organization/kefi-minerals-plc , a7e1a618-4ea1-43c5-b90e-5c36247a8078 ,19fc2748-59a4-449a-84a0-c3ccba0366bd
LT Foods,IND,,7,New Delhi,nse,DAAWAT,2006-12-29,,,, https://www.crunchbase.com/organization/lt-foods , e849c7c9-fde2-ef31-2997-34adc1c964f1 ,76a061db-f8db-2e2c-986c-a73e18d04046
MGC Pharmaceuticals,AUS,,8,Perth,asx,MXC,2006-12-29,,,, https://www.crunchbase.com/organization/mgc-pharmaceuticals , 55ce9f0a-e53a-1328-b239-54f9b646a543 ,4bb26f20-089e-607c-b6a5-a185275bf7e0
NeuralStem,USA,MD,MD,Rockville,nasdaq,CUR,2006-12-29,,,, https://www.crunchbase.com/organization/neuralstem , 8afbeede-de07-1e36-0506-283257867901 ,702fdc4c-cf8f-fbbf-6000-baeb4cf84c70
Northern Bear,GBR,,I7,Newcastle Upon Tyne,lon,NTBR,2006-12-29,,,, https://www.crunchbase.com/organization/northern-bear , 3d694f13-3ad2-49b9-aac3-dd4b7c6e01c1 ,92404369-ee88-406a-9781-36b1279144eb
Sabien Technology Group,GBR,,F8,Watford,lon,SNT,2006-12-29,,,, https://www.crunchbase.com/organization/sabien-technology-group , 96d7f905-5f5b-4e99-bc9d-2135fde38b30 ,7efa7642-8cf3-4c60-9d5f-cfdcce52a175
Tricom IT Services,IND,,16,Mumbai,nse,TRICOM,2006-12-29,,,, https://www.crunchbase.com/organization/tricom-it-services , 4cc9ac3c-db80-0aac-b520-18c68e7aa5f0 ,189b9bb7-32a7-38c9-7d30-ea4b0296200e
Vertu Motors,GBR,,E5,Gateshead,lon,VTU,2006-12-29,,,, https://www.crunchbase.com/organization/vertu-motors , 3308536a-7695-3746-6d2f-24f0ad975dbf ,77df659a-69d5-3547-53b8-b31632e5ff41
Lopes Consultoria de Imóveis,BRA,,27,Brasil,bvmf,LPSB3,2006-12-28,,,, https://www.crunchbase.com/organization/lopes-consultoria-de-imveis , bec0cbba-985c-0848-6c5b-4714df8caa80 ,5722957a-3e34-62a0-a4dc-f7d06f82ea08
Africo Resources Ltd.,CAN,BC,BC,Vancouver,tse,ARL,2006-12-22,,,, https://www.crunchbase.com/organization/africo-resources-ltd , 5a399de0-f497-e2d1-744f-809478269134 ,c3a0bea9-47fb-319e-e133-299ab99c917b
Altur Investissement,FRA,,A8,Paris,epa,ALTUR,2006-12-22,,,, https://www.crunchbase.com/organization/turenne-investissement , 3ec8083c-9f26-0bd1-c50e-263c7da3a8df ,63096bc8-acc5-f257-317a-ea15e03ae46c
