company_name,country_code,state_code,region,funding_rounds,women_led
SettleMint NV,BEL,,12,2,True
Stanza Living,IND,,7,3,False
Tag.bio,USA,CA,CA,1,False
"Talkoot, inc.",USA,OR,OR,1,True
TerViva,USA,CA,CA,4,True
TRIBE,AUS,,7,4,True
Ubiquity Retirement + Savings,USA,CA,CA,2,True
VirtualAPT,USA,NY,NY,2,True
Vlocity,USA,CA,CA,3,True
vrdirect,DEU,,2,1,False
AiFi,USA,CA,CA,2,True
AMOpportunities,USA,IL,IL,2,False
AMR Centre,GBR,,C5,2,True
B3i,CHE,,25,2,True
Ball Corporation,USA,CO,CO,1,True
Bricleir,USA,CA,CA,2,True
British Pearl,GBR,,H9,3,False
BuyCoins,NGA,,5,2,True
CleanRobotics,USA,PA,PA,2,True
Concrete Sensors,USA,MA,MA,5,False
CyberX,USA,MA,MA,5,True
Cytosmart,NLD,,6,2,False
Digital Domain Holdings,HKG,,,3,False
Faraday Future,USA,CA,CA,3,False
Finova Capital,IND,,24,2,True
Fourstay,USA,VA,VA,2,False
Gjirafa,ALB,,50,3,False
GuruShots,ISR,,5,2,False
Hiip,VNM,,,3,False
HS Orka,,,,1,False
Inflazome,IRL,,7,3,False
Ke.com,CHN,,22,1,True
LiveBy,USA,NE,NE,5,False
NewBanker,CHN,,22,2,False
Newchip,,,,3,False
Observa,USA,WA,WA,4,False
Oragenics,USA,FL,FL,12,True
Ouster,USA,CA,CA,3,False
Presenso,ISR,,4,4,False
Property Share Online Platform,IND,,19,2,False
Retail Aware,USA,NE,NE,2,False
retest,DEU,,1,1,False
Rewire,ISR,,5,2,True
Saama,USA,CA,CA,2,True
Shep Travel,USA,TX,TX,3,True
Smartee Denti-Technology,CHN,,23,2,False
Sopris Health,USA,CO,CO,3,False
Terbium Labs,USA,MD,MD,4,True
Tinkergarten,USA,MA,MA,5,True
University of Toronto,CAN,ON,ON,1,True
UpsellGuru,DEU,,5,1,False
VenueLook.com,IND,,36,1,True
VirtualKEY,USA,IL,IL,2,True
Ajoopa,IND,,36,1,False
Celer Network,,,,3,False
Cobwebs Technologies,SGP,,,2,False
Delhivery,IND,,10,7,False
Remente,SWE,,28,2,False
Solugen,USA,TX,TX,5,False
ManoMotion,SWE,,26,4,False
Alcatraz AI,USA,CA,CA,3,False
Bitcentral,USA,CA,CA,2,True
Brand New Day,NLD,,7,2,False
BYJU’S,IND,,19,10,True
Credijusto,MEX,,9,2,False
Debenhams,IRL,,7,2,True
Evox Therapeutics,GBR,,K2,4,False
FRISQ Holding AB,SWE,,26,2,True
Jiatui Technology,CHN,,30,2,False
Kudi,NGA,,5,4,False
MarginEdge,USA,VA,VA,3,False
MedMen,USA,CA,CA,3,False
Octane Lending,USA,NY,NY,10,False
PEG,GHA,,1,6,False
Reveal,GBR,,H9,2,True
SatoshiPay,GBR,,H9,7,False
Titan Medical,CAN,ON,ON,13,False
VoCare,USA,IN,IN,3,False
Abbisko Therapeutics,CHN,,23,2,False
Attivo Networks,USA,CA,CA,5,True
Avidbots,CAN,ON,ON,6,False
Bitmo,USA,CA,CA,2,False
Boundless,USA,WA,WA,2,False
BurnAlong,USA,MD,MD,4,False
Carbon Engineering,CAN,BC,BC,4,False
Catch,USA,MA,MA,3,True
Deinove SA,FRA,,A9,2,False
Farmcrowdy,NGA,,5,4,True
Fetcher,USA,NY,NY,2,True
ForwardX Robotics,CHN,,22,3,True
Guesty,ISR,,5,4,True
Hilco Global,USA,IL,IL,1,False
HoneyBook,USA,CA,CA,4,True
Igyxos,FRA,,A3,1,True
Ikigai Asset Management,USA,CA,CA,1,False
Imago BioSciences,USA,CA,CA,2,False
i(x) investments,USA,CA,CA,1,True
Jiqi Zhixin,CHN,,22,3,True
Jitjatjo,USA,NY,NY,3,False
LogRocket,USA,MA,MA,2,False
Marqeta,USA,CA,CA,6,True
MILES Mobility,DEU,,16,1,False
MobilKamu,IDN,,4,3,False
MomentPath,USA,IN,IN,3,False
NS8,USA,NV,NV,6,False
Numerai,USA,CA,CA,3,False
Paper Boat,IND,,10,3,False
Prellis Biologics,USA,CA,CA,5,True
Rent the Runway,USA,NY,NY,10,True
Songtradr,USA,CA,CA,7,False
Sphero,USA,CO,CO,12,False
Tarana Wireless,USA,CA,CA,5,False
Tidesquare,KOR,,11,1,False
